COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,20121114,P,2,3,2,2,15,11,68,77,91,100,111,98,143,143,136,146,246,118,122,78,34,18,10,3,11/14/2012
000223,20121114,S,12,7,7,1,42,164,84,95,154,155,145,98,100,94,102,98,117,126,79,59,46,44,25,14,11/14/2012
000223,20121115,P,5,1,3,2,14,9,66,85,95,101,115,114,123,136,122,138,261,134,129,53,27,18,11,6,11/15/2012
000223,20121115,S,11,13,4,4,32,147,77,99,116,125,111,114,105,103,100,113,118,170,93,71,71,66,49,24,11/15/2012
000223,20121116,P,2,1,5,4,9,9,63,55,96,113,130,136,118,183,140,178,223,168,134,55,37,19,13,3,11/16/2012
000223,20121116,S,13,7,8,4,25,120,72,79,125,126,143,125,146,142,185,197,245,300,259,276,192,135,60,36,11/16/2012
000223,20121117,P,4,2,2,4,7,12,40,50,68,98,123,140,147,184,198,202,257,220,143,74,43,31,19,15,11/17/2012
000223,20121117,S,21,15,4,10,22,54,29,125,197,154,202,220,213,182,207,195,197,185,104,93,81,57,37,27,11/17/2012
000223,20121118,P,2,4,5,4,7,12,47,49,79,142,294,321,332,329,303,250,270,189,174,147,76,35,12,6,11/18/2012
000223,20121118,S,14,13,8,5,27,40,14,62,110,126,126,126,133,115,129,132,130,136,93,91,59,47,26,24,11/18/2012
000223,20121119,P,4,3,1,0,11,15,74,96,114,152,172,170,158,158,150,164,239,145,126,44,33,16,11,7,11/19/2012
000223,20121119,S,12,2,6,5,31,112,81,92,125,147,151,138,119,114,149,144,148,140,107,67,57,50,38,21,11/19/2012
000223,20121120,P,3,5,2,3,11,12,61,73,101,138,146,130,130,172,183,186,299,141,135,61,21,23,20,9,11/20/2012
000223,20121120,S,17,12,2,4,31,130,70,93,137,150,149,145,131,125,164,174,203,186,159,136,95,75,66,28,11/20/2012
000223,20121121,P,2,1,3,3,11,16,52,74,72,120,164,169,178,177,226,246,297,212,172,60,79,70,41,10,11/21/2012
000223,20121121,S,21,10,8,6,32,133,61,100,138,143,202,232,244,301,330,378,362,364,263,226,170,103,80,42,11/21/2012
000223,20121122,P,6,4,2,6,12,9,32,26,47,115,162,158,141,131,110,89,100,108,101,86,68,45,31,19,11/22/2012
000223,20121122,S,20,10,6,5,12,7,13,29,82,141,238,287,247,184,145,136,117,129,110,113,118,80,38,27,11/22/2012
000223,20121123,P,7,2,2,2,8,18,40,57,109,142,222,300,238,274,254,313,324,255,170,73,43,33,16,10,11/23/2012
000223,20121123,S,13,8,8,8,20,74,45,72,132,225,296,361,364,339,305,337,280,237,213,126,113,82,46,26,11/23/2012
000223,20121124,P,7,1,3,4,8,15,37,56,91,174,316,376,374,341,368,371,448,293,207,128,69,36,24,12,11/24/2012
000223,20121124,S,16,6,5,8,18,59,18,108,153,159,205,236,199,190,178,147,129,132,98,81,44,37,30,25,11/24/2012
000223,20121125,P,7,0,6,4,9,18,50,63,118,263,462,509,426,379,298,398,364,260,191,103,66,28,14,7,11/25/2012
000223,20121125,S,14,7,10,8,17,59,22,40,85,97,92,121,88,77,90,120,106,114,69,72,36,39,21,17,11/25/2012
000223,20121126,P,4,3,1,4,10,23,68,93,101,134,141,139,140,111,143,116,188,107,94,27,18,12,10,5,11/26/2012
000223,20121126,S,7,4,7,6,31,107,49,61,62,70,90,79,91,66,83,93,105,95,56,59,42,29,23,17,11/26/2012
000223,20121127,P,2,3,0,2,9,15,37,57,106,106,111,126,118,106,118,102,194,99,96,27,18,19,8,10,11/27/2012
000223,20121127,S,10,8,4,3,25,119,58,89,88,80,90,66,75,87,95,103,118,111,87,62,48,39,38,11,11/27/2012
000223,20121128,P,2,1,1,3,7,13,49,52,85,96,111,113,120,110,133,121,235,110,120,42,19,12,8,7,11/28/2012
000223,20121128,S,13,11,3,2,30,144,60,86,96,107,106,78,73,92,103,71,136,143,79,69,52,39,26,11,11/28/2012
000223,20121129,P,3,2,3,1,16,10,65,55,72,129,111,114,99,122,133,120,217,117,122,34,31,14,11,8,11/29/2012
000223,20121129,S,6,2,6,2,23,140,52,83,85,102,89,86,85,102,107,106,135,134,103,71,56,56,33,25,11/29/2012
000223,20121130,P,5,2,1,3,11,14,48,54,86,131,121,136,124,152,143,158,241,145,134,33,24,27,12,8,11/30/2012
000223,20121130,S,19,5,8,1,25,105,41,71,110,134,112,136,135,133,165,170,256,318,266,257,249,138,82,49,11/30/2012
000223,20121201,P,3,1,4,3,10,10,35,41,72,100,120,157,187,213,281,275,454,289,203,74,39,27,16,13,12/01/2012
000223,20121201,S,26,19,8,6,17,59,49,255,275,234,298,269,215,224,173,151,178,158,109,86,69,58,51,28,12/01/2012
000223,20121202,P,7,3,5,3,9,4,35,35,64,140,254,303,305,335,317,360,388,270,223,107,57,35,15,9,12/02/2012
000223,20121202,S,11,18,8,4,17,51,18,78,131,169,203,164,130,95,121,88,116,109,103,82,56,35,26,9,12/02/2012
000223,20121203,P,3,4,3,1,10,18,77,78,89,91,130,151,112,122,113,123,218,103,97,37,19,10,9,4,12/03/2012
000223,20121203,S,8,4,5,2,28,111,54,75,71,96,109,87,99,80,96,104,112,103,67,52,59,37,38,17,12/03/2012
000223,20121204,P,5,2,1,2,9,12,54,59,89,99,120,101,105,89,100,119,223,114,126,31,18,16,9,4,12/04/2012
000223,20121204,S,14,10,2,6,26,138,54,64,86,93,91,105,92,58,80,91,111,129,79,43,42,29,26,19,12/04/2012
000223,20121205,P,4,3,1,1,10,11,57,53,78,107,124,109,111,116,120,133,242,143,123,48,26,25,9,12,12/05/2012
000223,20121205,S,10,8,3,6,24,137,55,79,107,99,111,98,78,97,98,108,111,107,73,73,49,37,21,16,12/05/2012
000223,20121206,P,4,2,1,6,16,7,50,47,81,95,84,109,89,120,115,112,198,123,119,25,27,25,11,7,12/06/2012
000223,20121206,S,11,10,5,3,23,124,56,71,88,106,100,98,88,83,102,115,129,128,88,78,52,33,34,28,12/06/2012
000223,20121207,P,4,1,2,0,16,9,48,55,80,133,100,148,141,159,139,150,212,120,100,50,22,17,18,7,12/07/2012
000223,20121207,S,10,6,8,4,18,95,58,84,118,117,116,141,114,129,167,192,278,359,288,283,241,130,85,48,12/07/2012
000223,20121208,P,5,3,3,2,14,4,25,36,51,78,92,150,165,195,292,202,394,242,138,72,25,14,12,7,12/08/2012
000223,20121208,S,25,12,10,7,9,57,43,267,244,215,260,241,229,175,159,146,195,146,91,78,62,63,34,23,12/08/2012
000223,20121209,P,2,5,2,6,3,5,23,26,36,106,190,317,399,449,464,457,475,305,177,119,90,30,17,8,12/09/2012
000223,20121209,S,13,11,4,5,10,55,43,225,247,192,192,161,125,85,89,88,123,93,71,55,50,25,9,16,12/09/2012
000223,20121210,P,9,1,2,1,5,18,46,92,83,107,127,111,124,132,112,158,213,117,99,45,14,20,8,8,12/10/2012
000223,20121210,S,13,6,3,6,18,111,60,71,90,153,125,84,81,73,82,80,108,90,64,42,41,42,16,24,12/10/2012
000223,20121211,P,7,2,1,4,9,7,33,49,68,119,102,87,93,112,144,155,245,117,118,35,24,12,12,2,12/11/2012
000223,20121211,S,10,5,7,6,23,127,62,54,109,140,146,119,85,74,90,76,127,125,64,62,48,30,28,14,12/11/2012
000223,20121212,P,3,1,2,3,10,12,49,56,78,107,117,118,112,136,166,169,292,117,121,43,23,32,19,6,12/12/2012
000223,20121212,S,7,8,5,6,33,141,55,84,121,158,155,128,96,84,103,95,112,134,77,73,52,39,38,16,12/12/2012
000223,20121213,P,8,1,2,4,12,12,44,70,86,115,127,131,143,145,211,231,296,183,119,44,32,20,16,8,12/13/2012
000223,20121213,S,10,12,2,8,34,144,51,104,181,200,184,152,118,100,130,119,159,144,103,107,85,56,40,39,12/13/2012
000223,20121214,P,10,5,9,3,13,14,43,56,81,128,136,120,148,178,208,207,302,187,151,48,29,19,12,6,12/14/2012
000223,20121214,S,19,11,4,4,30,102,39,93,212,220,224,184,147,161,182,211,280,386,306,307,300,127,83,48,12/14/2012
000223,20121215,P,4,1,1,3,10,10,53,37,57,114,147,177,229,296,345,359,508,380,171,72,45,28,18,19,12/15/2012
000223,20121215,S,33,16,12,7,22,56,61,366,431,309,281,349,250,210,197,216,194,171,146,93,99,76,46,33,12/15/2012
000223,20121216,P,6,11,1,6,7,7,45,35,62,152,276,315,378,451,530,511,573,382,260,120,111,59,24,12,12/16/2012
000223,20121216,S,24,13,7,4,19,46,33,236,427,346,274,213,150,114,109,97,120,122,77,67,55,43,39,18,12/16/2012
000223,20121217,P,6,1,3,3,7,18,73,98,105,144,159,167,138,179,249,291,272,178,116,49,29,16,12,6,12/17/2012
000223,20121217,S,14,7,5,6,25,108,41,88,200,250,203,149,102,107,106,95,106,111,62,68,54,43,37,24,12/17/2012
000223,20121218,P,7,1,3,4,10,9,42,44,58,78,116,112,106,172,197,244,279,208,119,34,20,11,16,12,12/18/2012
000223,20121218,S,11,7,7,7,26,142,76,82,214,272,190,134,110,80,111,100,110,113,93,90,82,74,41,41,12/18/2012
000223,20121219,P,10,6,5,1,10,8,40,38,69,61,92,94,120,155,250,257,341,220,132,61,40,21,7,11,12/19/2012
000223,20121219,S,10,9,7,8,31,117,76,108,306,266,224,162,105,94,87,82,90,111,91,75,50,44,50,21,12/19/2012
000223,20121220,P,7,1,3,5,8,10,49,56,87,118,153,167,191,251,313,426,482,272,155,61,28,26,13,7,12/20/2012
000223,20121220,S,14,9,6,6,24,126,54,127,337,447,305,214,156,158,128,162,173,187,172,126,124,100,78,49,12/20/2012
000223,20121221,P,7,8,5,4,14,13,48,52,104,131,195,194,203,216,351,475,575,301,164,88,46,22,16,17,12/21/2012
000223,20121221,S,27,15,5,8,20,75,57,169,461,486,387,284,265,226,274,321,366,310,323,307,274,196,115,66,12/21/2012
000223,20121222,P,11,3,2,7,9,14,31,47,72,134,192,202,286,334,399,537,537,358,193,80,63,36,15,10,12/22/2012
000223,20121222,S,50,24,14,8,13,67,57,451,506,370,385,412,372,359,378,364,331,278,197,168,128,82,84,58,12/22/2012
000223,20121223,P,7,2,3,4,9,9,28,45,84,189,271,331,341,394,416,447,466,412,240,122,81,45,31,15,12/23/2012
000223,20121223,S,22,16,11,8,22,42,34,223,367,359,363,297,287,250,263,258,198,191,149,150,128,72,60,25,12/23/2012
000223,20121224,P,6,3,4,6,6,9,40,48,78,159,306,315,326,353,361,405,342,216,94,92,38,25,21,10,12/24/2012
000223,20121224,S,14,17,3,4,17,66,34,150,323,278,320,292,249,229,216,205,147,132,99,65,55,71,54,32,12/24/2012
000223,20121225,P,6,2,1,3,5,7,11,22,34,69,107,164,226,250,288,330,319,271,133,92,88,55,29,15,12/25/2012
000223,20121225,S,18,6,10,4,4,5,16,87,218,224,220,217,199,208,188,180,146,144,112,88,107,92,62,28,12/25/2012
000223,20121226,P,6,2,4,3,10,22,55,80,128,226,264,381,311,333,355,438,574,422,220,126,59,34,18,17,12/26/2012
000223,20121226,S,15,10,3,3,26,96,55,199,425,430,362,410,413,445,423,359,330,309,188,151,133,126,64,54,12/26/2012
000223,20121227,P,5,7,2,4,6,17,38,77,99,187,192,280,263,287,374,497,657,543,295,87,54,20,21,12,12/27/2012
000223,20121227,S,41,18,14,8,19,117,63,254,597,528,464,474,359,346,368,321,326,286,200,119,105,75,56,39,12/27/2012
000223,20121228,P,4,3,6,1,12,16,58,44,105,171,239,312,369,406,598,642,803,614,258,177,76,45,29,20,12/28/2012
000223,20121228,S,23,17,7,9,18,95,62,324,774,636,633,477,372,341,437,393,433,397,365,289,231,182,90,53,12/28/2012
000223,20121229,P,7,6,2,3,8,19,31,67,110,181,240,415,394,421,614,778,795,548,383,181,108,51,34,13,12/29/2012
000223,20121229,S,23,18,7,15,19,62,89,611,632,520,632,550,469,441,417,399,304,286,172,148,108,93,58,26,12/29/2012
000223,20121230,P,9,7,5,7,8,18,55,60,113,198,392,506,464,536,553,606,594,540,328,213,126,70,29,11,12/30/2012
000223,20121230,S,25,8,10,9,21,40,36,343,548,515,429,404,435,350,305,298,222,201,194,153,121,68,54,26,12/30/2012
000223,20121231,P,6,4,4,9,12,23,76,103,142,218,278,363,359,398,389,487,469,326,158,106,54,27,13,11,12/31/2012
000223,20121231,S,18,14,6,13,20,74,55,179,369,369,316,321,286,277,288,317,328,263,182,140,97,50,55,19,12/31/2012
000223,20130101,P,9,10,13,7,10,16,70,81,114,176,356,634,768,788,877,837,717,583,322,222,204,115,39,16,01/01/2013
000223,20130101,S,14,8,11,9,26,69,49,219,464,365,371,338,320,236,189,225,175,176,120,81,62,49,38,13,01/01/2013
000223,20130102,P,2,3,3,7,9,30,106,174,185,210,249,321,351,346,341,429,583,427,239,105,56,47,25,15,01/02/2013
000223,20130102,S,12,8,5,4,31,133,59,135,367,395,309,284,242,175,201,232,199,196,122,96,82,65,44,31,01/02/2013
000223,20130103,P,6,2,1,1,19,14,66,65,121,178,172,284,268,304,333,481,631,423,204,87,52,33,21,18,01/03/2013
000223,20130103,S,8,10,8,1,25,136,52,153,403,441,366,299,250,181,193,209,226,240,148,144,115,86,52,30,01/03/2013
000223,20130104,P,6,2,6,3,21,11,68,87,108,185,230,273,324,272,397,554,743,499,279,103,64,46,21,17,01/04/2013
000223,20130104,S,17,13,3,6,25,100,53,193,480,577,440,354,253,272,273,300,333,467,416,401,294,196,110,48,01/04/2013
000223,20130105,P,6,5,5,6,17,17,64,117,126,191,245,348,302,437,578,820,931,735,341,172,106,78,35,15,01/05/2013
000223,20130105,S,24,8,13,5,14,80,121,687,645,566,646,572,344,241,253,228,206,188,148,118,75,52,40,28,01/05/2013
000223,20130106,P,8,6,7,2,16,27,58,116,111,215,376,512,568,669,794,804,825,522,343,285,198,73,28,17,01/06/2013
000223,20130106,S,19,10,6,4,9,78,55,436,519,483,400,262,242,209,160,208,161,160,118,98,67,36,29,16,01/06/2013
000223,20130107,P,1,8,1,8,9,19,84,114,144,154,228,201,202,235,288,344,455,270,165,61,22,16,16,7,01/07/2013
000223,20130107,S,10,5,3,8,18,109,47,114,244,325,226,165,141,105,110,129,125,124,100,70,66,49,28,18,01/07/2013
000223,20130108,P,4,3,1,2,9,19,44,56,92,107,149,159,167,154,227,281,348,235,153,55,34,13,10,7,01/08/2013
000223,20130108,S,9,6,9,5,30,135,65,93,193,268,198,159,115,107,97,104,143,152,92,74,71,39,36,19,01/08/2013
000223,20130109,P,6,1,3,2,12,11,60,60,97,111,131,151,145,150,226,288,402,273,139,58,27,17,14,5,01/09/2013
000223,20130109,S,11,5,4,5,35,133,53,119,190,275,222,153,134,111,114,134,134,145,108,89,55,53,36,22,01/09/2013
000223,20130110,P,5,5,4,4,11,9,67,72,96,121,163,152,167,239,233,299,355,265,121,52,69,27,16,10,01/10/2013
000223,20130110,S,15,11,7,5,30,140,63,111,217,283,211,151,155,120,127,165,189,191,124,135,129,79,53,45,01/10/2013
000223,20130111,P,12,5,3,4,5,20,45,57,93,177,254,252,167,161,210,266,373,235,139,61,29,14,7,13,01/11/2013
000223,20130111,S,24,14,6,7,21,93,60,126,265,306,243,205,173,172,190,237,332,503,423,376,330,198,100,55,01/11/2013
000223,20130112,P,8,6,3,2,8,7,41,51,79,99,142,192,305,279,319,409,482,295,154,75,117,46,19,12,01/12/2013
000223,20130112,S,47,12,9,9,14,56,77,656,508,316,240,214,182,172,152,123,122,125,78,59,130,93,46,26,01/12/2013
000223,20130113,P,8,2,6,4,5,7,43,50,69,144,286,454,465,563,532,623,560,443,321,237,149,55,20,11,01/13/2013
000223,20130113,S,13,7,5,4,17,55,46,279,343,276,209,166,133,117,128,110,118,114,67,63,48,37,31,12,01/13/2013
000223,20130114,P,5,2,3,2,12,19,84,121,128,127,142,166,150,139,177,166,236,159,121,47,20,19,9,9,01/14/2013
000223,20130114,S,11,9,6,3,22,111,64,50,110,181,133,119,91,67,107,115,125,139,69,56,53,27,24,12,01/14/2013
000223,20130115,P,1,5,1,5,8,14,52,68,74,121,116,122,105,112,155,197,264,179,126,44,29,16,12,5,01/15/2013
000223,20130115,S,10,10,2,4,21,138,70,60,121,214,131,123,85,78,91,108,121,109,83,65,58,34,37,10,01/15/2013
000223,20130116,P,2,6,3,1,10,13,54,57,92,109,131,122,129,138,211,270,431,203,154,43,34,19,15,11,01/16/2013
000223,20130116,S,9,7,5,4,24,158,62,125,252,313,246,156,99,104,109,113,148,130,97,93,56,41,35,24,01/16/2013
000223,20130117,P,2,2,2,2,8,10,55,73,98,118,142,168,129,157,211,311,412,226,149,43,27,19,18,13,01/17/2013
000223,20130117,S,17,7,2,5,22,143,67,133,211,324,250,178,133,119,139,162,182,182,170,139,155,97,83,63,01/17/2013
000223,20130118,P,3,1,2,1,16,11,55,65,102,143,156,163,156,205,276,436,568,358,199,90,33,29,23,7,01/18/2013
000223,20130118,S,24,19,8,7,28,100,63,176,372,482,410,315,256,225,307,355,456,642,653,619,648,362,205,89,01/18/2013
000223,20130119,P,5,3,3,7,6,11,37,54,72,118,151,194,180,282,428,643,900,699,344,183,105,56,32,16,01/19/2013
000223,20130119,S,34,24,5,3,20,108,118,715,664,597,566,641,524,354,279,310,317,264,206,166,115,81,59,42,01/19/2013
000223,20130120,P,6,3,3,5,4,12,28,49,84,156,296,430,450,556,727,875,945,680,417,303,229,131,38,22,01/20/2013
000223,20130120,S,20,11,9,4,15,79,51,426,596,609,436,329,260,190,169,164,134,149,125,87,67,55,42,25,01/20/2013
000223,20130121,P,6,4,5,6,12,31,110,165,193,327,523,623,567,680,601,653,691,412,281,166,132,60,30,11,01/21/2013
000223,20130121,S,19,11,4,10,26,109,67,158,396,397,312,219,144,109,119,110,117,113,93,68,42,40,31,17,01/21/2013
000223,20130122,P,3,3,1,4,8,22,63,95,131,138,162,173,154,175,200,245,324,184,138,65,30,10,12,5,01/22/2013
000223,20130122,S,12,7,4,4,19,142,50,86,172,221,189,116,93,98,89,115,125,138,96,96,60,37,25,26,01/22/2013
000223,20130123,P,2,2,2,1,8,10,65,70,89,104,130,161,144,128,192,203,324,186,140,39,24,15,11,7,01/23/2013
000223,20130123,S,12,6,4,5,29,146,69,101,188,189,179,135,93,94,120,101,131,156,101,82,80,52,37,28,01/23/2013
000223,20130124,P,9,3,2,5,13,8,60,70,94,113,134,127,113,164,163,190,296,176,138,60,27,18,9,8,01/24/2013
000223,20130124,S,10,9,2,3,24,152,53,112,155,205,139,143,115,120,139,153,171,206,153,151,127,80,63,46,01/24/2013
000223,20130125,P,1,2,3,2,12,14,50,62,76,98,141,127,136,167,170,254,348,249,143,57,34,21,19,12,01/25/2013
000223,20130125,S,21,21,6,7,38,129,59,131,230,305,246,195,198,214,252,306,430,584,499,592,655,301,149,90,01/25/2013
000223,20130126,P,7,5,1,4,11,11,44,49,80,130,167,162,224,329,465,607,779,519,321,162,99,52,27,15,01/26/2013
000223,20130126,S,31,21,9,5,22,81,104,714,634,553,478,357,276,233,227,248,271,212,163,113,94,77,55,32,01/26/2013
000223,20130127,P,13,4,4,8,14,16,53,56,99,214,546,629,700,786,766,708,793,575,406,338,248,93,44,22,01/27/2013
000223,20130127,S,19,11,6,9,15,67,44,355,442,350,305,219,165,131,122,107,101,124,103,90,60,33,23,17,01/27/2013
000223,20130128,P,8,3,5,3,8,23,107,132,144,161,219,194,172,180,150,185,267,139,133,55,22,12,9,6,01/28/2013
000223,20130128,S,14,11,10,9,22,108,48,79,127,162,159,98,92,98,93,113,122,125,72,45,41,39,25,22,01/28/2013
000223,20130129,P,4,1,3,1,4,12,45,65,90,81,100,115,124,159,215,245,300,179,112,42,22,16,9,3,01/29/2013
000223,20130129,S,5,13,8,10,14,105,77,72,190,261,244,126,94,76,102,93,108,121,65,78,51,49,34,16,01/29/2013
000223,20130130,P,4,1,2,4,10,7,53,55,65,92,86,90,132,161,188,228,301,183,149,63,38,14,7,5,01/30/2013
000223,20130130,S,14,6,4,6,27,131,58,93,246,298,167,125,82,98,92,86,76,148,90,71,65,53,44,24,01/30/2013
000223,20130131,P,8,1,3,3,9,15,54,48,86,85,98,118,124,155,192,268,365,233,139,46,32,19,13,5,01/31/2013
